																																										
General Info																																										
																																										
Run information																																										
	Session name				KINabs_380_150209_10min																																					
	Session creator				admin																																					
	Run name				KINabs_380_150209_10min-Monday.05.October-11:27:50																																					
	Run creator				admin																																					
	Run started				10/05/2015 11:27:50+02:00																																					
	Total warnings				0																																					
	Total errors				0																																					
																																										
Instrument parameters																																										
	Instrument name				Varioskan																																					
	Instrument version				3.01.15																																					
	Instrument serial number				74																																					
	Actual instrument temperature				<MIN 26.6 26.7																																					
	Dispenser				1																																					
	LumiSens module				N\A																																					
	LumiSens scaling factor				N\A																																					
																																										
SW Parameters																																										
	Run Software Version				SkanIt Software 2.4.3 RE for Varioskan																																					
	Current Software Version				SkanIt Software 2.4.3 RE for Varioskan																																					

																																										
Sample Data																																										

																																										
Steps Data																																										
																																										
Protocol properties																																										
	Protocol name				KINabs_380_150209_10min																																					
	Protocol description				Kinetec assay for Kemp Eliminase at 380nm																																					
	Plate template				96-well Greiner Bio-One, flat bottom plate																																					
	Execution block type				plate																																					
	Execution order				3																																					
	Settle delay [ms]				0																																					
	Well interval [ms]				0																																					
																																										
KineticLoop1																																										
	Readings				20																																					
	Kinetic interval				0:00:30.0																																					
																																										
Photometric1																																										
	Measurement technology				Photometric																																					
	Measurement type				Kinetic																																					
	Step duration				0:00:00.0																																					
	Lag time				0:00:00.0																																					
	Measurement time [ms]				100																																					
	Bandwidth [nm]				5																																					
	Multipoint				Not in use																																					
	Wavelength [nm]				380																																					
																																										
KineticCalculation1																																										
	Processor Type				AvgRate																																					
	Reaction				Undefined																																					
	Kinetic Rate				s																																					
	Ignore First N Readings				0																																					
	Ignore Last N Readings				0																																					
	Window				1																																					
	Baseline				0																																					
	Reading Index				1																																					
	Change type				Absolute																																					
	Change value				0																																					

																																										
Photometric1																																										
																																										
Plate	Well	Type	Sample	Value	Time (s)	WL	Read.																																			
3465	A01	Unknown	Kemp 1/96	1.66212	0	380	1																																			
3465	A01	Unknown	Kemp 1/96	1.75451	29.99	380	2																																			
3465	A01	Unknown	Kemp 1/96	1.77765	59.99	380	3																																			
3465	A01	Unknown	Kemp 1/96	1.77879	89.99	380	4																																			
3465	A01	Unknown	Kemp 1/96	1.77693	119.99	380	5																																			
3465	A01	Unknown	Kemp 1/96	1.77768	149.99	380	6																																			
3465	A01	Unknown	Kemp 1/96	1.77911	179.99	380	7																																			
3465	A01	Unknown	Kemp 1/96	1.76753	209.99	380	8																																			
3465	A01	Unknown	Kemp 1/96	1.76184	239.99	380	9																																			
3465	A01	Unknown	Kemp 1/96	1.75916	269.99	380	10																																			
3465	A01	Unknown	Kemp 1/96	1.7503	299.99	380	11																																			
3465	A01	Unknown	Kemp 1/96	1.74358	329.99	380	12																																			
3465	A01	Unknown	Kemp 1/96	1.74004	359.99	380	13																																			
3465	A01	Unknown	Kemp 1/96	1.73312	389.99	380	14																																			
3465	A01	Unknown	Kemp 1/96	1.72969	419.99	380	15																																			
3465	A01	Unknown	Kemp 1/96	1.72338	449.99	380	16																																			
3465	A01	Unknown	Kemp 1/96	1.72512	479.99	380	17																																			
3465	A01	Unknown	Kemp 1/96	1.72604	509.99	380	18																																			
3465	A01	Unknown	Kemp 1/96	1.72113	539.99	380	19																																			
3465	A01	Unknown	Kemp 1/96	1.71997	569.99	380	20																																			
3465	B02	Unknown	Kemp 10/96	0.0962607	35.05	380	2																																			
3465	B02	Unknown	Kemp 10/96	0.102076	65.05	380	3																																			
3465	B02	Unknown	Kemp 10/96	0.107937	95.05	380	4																																			
3465	B02	Unknown	Kemp 10/96	0.113985	125.05	380	5																																			
3465	B02	Unknown	Kemp 10/96	0.120002	155.05	380	6																																			
3465	B02	Unknown	Kemp 10/96	0.126035	185.05	380	7																																			
3465	B02	Unknown	Kemp 10/96	0.132298	215.05	380	8																																			
3465	B02	Unknown	Kemp 10/96	0.138417	245.05	380	9																																			
3465	B02	Unknown	Kemp 10/96	0.144779	275.05	380	10																																			
3465	B02	Unknown	Kemp 10/96	0.151216	305.05	380	11																																			
3465	B02	Unknown	Kemp 10/96	0.15762	335.05	380	12																																			
