																																										
General Info																																										
																																										
Run information																																										
3295	D02	Unknown	Kemp 12/96	0.0894424	70.57	380	3																																			
3295	D02	Unknown	Kemp 12/96	0.0924378	100.57	380	4																																			
3295	D02	Unknown	Kemp 12/96	0.0951607	130.57	380	5																																			
3295	D02	Unknown	Kemp 12/96	0.0980672	160.57	380	6																																			
3295	D02	Unknown	Kemp 12/96	0.101189	190.57	380	7																																			
3295	D02	Unknown	Kemp 12/96	0.104218	220.57	380	8																																			
3295	D02	Unknown	Kemp 12/96	0.10738	250.57	380	9																																			
3295	D02	Unknown	Kemp 12/96	0.110464	280.57	380	10																																			
3295	D02	Unknown	Kemp 12/96	0.113757	310.57	380	11																																			
3295	D02	Unknown	Kemp 12/96	0.11697	340.57	380	12																																			
3295	D02	Unknown	Kemp 12/96	0.120239	370.57	380	13																																			
3295	D02	Unknown	Kemp 12/96	0.123594	400.57	380	14																																			
3295	D02	Unknown	Kemp 12/96	0.126921	430.57	380	15																																			
3295	D02	Unknown	Kemp 12/96	0.130316	460.57	380	16																																			
3295	D02	Unknown	Kemp 12/96	0.133696	490.57	380	17																																			
3295	D02	Unknown	Kemp 12/96	0.137228	520.57	380	18																																			
3295	D02	Unknown	Kemp 12/96	0.140548	550.57	380	19																																			
3295	D02	Unknown	Kemp 12/96	0.144069	580.57	380	20																																			
3295	E02	Unknown	Kemp 13/96	0.0834618	11.27	380	1																																			
3295	E02	Unknown	Kemp 13/96	0.0865681	41.26	380	2																																			
3295	E02	Unknown	Kemp 13/96	0.0896909	71.26	380	3																																			
3295	E02	Unknown	Kemp 13/96	0.0927223	101.26	380	4																																			
3295	E02	Unknown	Kemp 13/96	0.0958625	131.26	380	5																																			
3295	E02	Unknown	Kemp 13/96	0.0988833	161.26	380	6																																			
3295	E02	Unknown	Kemp 13/96	0.102057	191.26	380	7																																			
3295	E02	Unknown	Kemp 13/96	0.105409	221.26	380	8																																			
3295	E02	Unknown	Kemp 13/96	0.108741	251.26	380	9																																			
3295	E02	Unknown	Kemp 13/96	0.11207	281.26	380	10																																			
3295	E02	Unknown	Kemp 13/96	0.11551	311.26	380	11																																			
3295	E02	Unknown	Kemp 13/96	0.118803	341.26	380	12																																			
3295	E02	Unknown	Kemp 13/96	0.122266	371.26	380	13																																			
3295	E02	Unknown	Kemp 13/96	0.125757	401.26	380	14																																			
3295	E02	Unknown	Kemp 13/96	0.129388	431.26	380	15																																			
3295	E02	Unknown	Kemp 13/96	0.132913	461.26	380	16																																			
3295	E02	Unknown	Kemp 13/96	0.136492	491.26	380	17																																			
3295	E02	Unknown	Kemp 13/96	0.139931	521.26	380	18																																			
3295	E02	Unknown	Kemp 13/96	0.143587	551.26	380	19																																			
3295	E02	Unknown	Kemp 13/96	0.147285	581.26	380	20																																			
3295	F02	Unknown	Kemp 14/96	0.103929	16.1	380	1																																			
3295	F02	Unknown	Kemp 14/96	0.111614	46.09	380	2																																			
3295	F02	Unknown	Kemp 14/96	0.119626	76.09	380	3																																			
3295	F02	Unknown	Kemp 14/96	0.127712	106.09	380	4																																			
3295	F02	Unknown	Kemp 14/96	0.135786	136.09	380	5																																			
3295	F02	Unknown	Kemp 14/96	0.14411	166.09	380	6																																			
3295	F02	Unknown	Kemp 14/96	0.152337	196.09	380	7																																			
3295	F02	Unknown	Kemp 14/96	0.16069	226.09	380	8																																			
3295	F02	Unknown	Kemp 14/96	0.169155	256.09	380	9																																			
3295	F02	Unknown	Kemp 14/96	0.177691	286.09	380	10																																			
3295	F02	Unknown	Kemp 14/96	0.186302	316.09	380	11																																			
3295	F02	Unknown	Kemp 14/96	0.195101	346.09	380	12																																			
3295	F02	Unknown	Kemp 14/96	0.203785	376.09	380	13																																			
3295	F02	Unknown	Kemp 14/96	0.212424	406.09	380	14																																			
3295	F02	Unknown	Kemp 14/96	0.221196	436.09	380	15																																			
3295	F02	Unknown	Kemp 14/96	0.22978	466.09	380	16																																			
3295	F02	Unknown	Kemp 14/96	0.238538	496.09	380	17																																			
3295	F02	Unknown	Kemp 14/96	0.24727	526.09	380	18																																			
3295	F02	Unknown	Kemp 14/96	0.256041	556.09	380	19																																			
3295	F02	Unknown	Kemp 14/96	0.264732	586.09	380	20																																			
3295	G02	Unknown	Kemp 15/96	0.0938172	16.79	380	1																																			
3295	G02	Unknown	Kemp 15/96	0.0988801	46.78	380	2																																			
3295	G02	Unknown	Kemp 15/96	0.104164	76.78	380	3																																			
3295	G02	Unknown	Kemp 15/96	0.10941	106.78	380	4																																			
3295	G02	Unknown	Kemp 15/96	0.115084	136.78	380	5																																			
3295	G02	Unknown	Kemp 15/96	0.120402	166.78	380	6																																			
3295	G02	Unknown	Kemp 15/96	0.126074	196.78	380	7																																			
3295	G02	Unknown	Kemp 15/96	0.131814	226.78	380	8																																			
3295	G02	Unknown	Kemp 15/96	0.137696	256.78	380	9																																			
3295	G02	Unknown	Kemp 15/96	0.143642	286.78	380	10																																			
3295	G02	Unknown	Kemp 15/96	0.149444	316.78	380	11																																			
3295	G02	Unknown	Kemp 15/96	0.15534	346.78	380	12																																			
3295	G02	Unknown	Kemp 15/96	0.161393	376.78	380	13																																			
3295	G02	Unknown	Kemp 15/96	0.167421	406.78	380	14																																			
3295	G02	Unknown	Kemp 15/96	0.173545	436.78	380	15																																			
3295	G02	Unknown	Kemp 15/96	0.179634	466.78	380	16																																			
3295	G02	Unknown	Kemp 15/96	0.185714	496.78	380	17																																			
3295	G02	Unknown	Kemp 15/96	0.191842	526.78	380	18																																			
3295	G02	Unknown	Kemp 15/96	0.198139	556.78	380	19																																			
3295	G02	Unknown	Kemp 15/96	0.204162	586.78	380	20																																			
3295	H02	Unknown	Kemp 16/96	0.0947506	21.62	380	1																																			
3295	H02	Unknown	Kemp 16/96	0.0995942	51.61	380	2																																			
3295	H02	Unknown	Kemp 16/96	0.104795	81.61	380	3																																			
3295	H02	Unknown	Kemp 16/96	0.109872	111.61	380	4																																			
3295	H02	Unknown	Kemp 16/96	0.115011	141.61	380	5																																			
3295	H02	Unknown	Kemp 16/96	0.120602	171.61	380	6																																			
3295	H02	Unknown	Kemp 16/96	0.126003	201.61	380	7																																			
3295	H02	Unknown	Kemp 16/96	0.131636	231.61	380	8																																			
3295	H02	Unknown	Kemp 16/96	0.137354	261.61	380	9																																			
3295	H02	Unknown	Kemp 16/96	0.142909	291.61	380	10																																			
3295	H02	Unknown	Kemp 16/96	0.148619	321.61	380	11																																			
3295	H02	Unknown	Kemp 16/96	0.154209	351.61	380	12																																			
3295	H02	Unknown	Kemp 16/96	0.160112	381.61	380	13																																			
3295	H02	Unknown	Kemp 16/96	0.165861	411.61	380	14																																			
3295	H02	Unknown	Kemp 16/96	0.171763	441.61	380	15																																			
3295	H02	Unknown	Kemp 16/96	0.177636	471.61	380	16																																			
3295	H02	Unknown	Kemp 16/96	0.183434	501.61	380	17																																			
3295	H02	Unknown	Kemp 16/96	0.189275	531.61	380	18																																			
3295	H02	Unknown	Kemp 16/96	0.195312	561.61	380	19																																			
3295	H02	Unknown	Kemp 16/96	0.201217	591.61	380	20																																			
3295	A03	Unknown	Kemp 17/96	0.0943811	30.45	380	2																																			
3295	A03	Unknown	Kemp 17/96	0.0992609	60.45	380	3																																			
3295	A03	Unknown	Kemp 17/96	0.104372	90.45	380	4																																			
3295	A03	Unknown	Kemp 17/96	0.109458	120.45	380	5																																			
3295	A03	Unknown	Kemp 17/96	0.11495	150.45	380	6																																			
3295	A03	Unknown	Kemp 17/96	0.120223	180.45	380	7																																			
3295	A03	Unknown	Kemp 17/96	0.125695	210.45	380	8																																			
3295	A03	Unknown	Kemp 17/96	0.131381	240.45	380	9																																			
3295	A03	Unknown	Kemp 17/96	0.136881	270.45	380	10																																			
3295	A03	Unknown	Kemp 17/96	0.14251	300.45	380	11																																			
3295	A03	Unknown	Kemp 17/96	0.148108	330.45	380	12																																			
3295	A03	Unknown	Kemp 17/96	0.153891	360.45	380	13																																			
3295	A03	Unknown	Kemp 17/96	0.159625	390.45	380	14																																			
3295	A03	Unknown	Kemp 17/96	0.165349	420.45	380	15																																			
3295	A03	Unknown	Kemp 17/96	0.171048	450.45	380	16																																			
3295	A03	Unknown	Kemp 17/96	0.176826	480.45	380	17																																			
3295	A03	Unknown	Kemp 17/96	0.182621	510.45	380	18																																			
3295	A03	Unknown	Kemp 17/96	0.188538	540.45	380	19																																			
3295	A03	Unknown	Kemp 17/96	0.194363	570.45	380	20																																			
3295	A03	Unknown	Kemp 17/96	0.0892739	0.46	380	1																																			
3295	B03	Unknown	Kemp 18/96	0.0914661	34.82	380	2																																			
3295	B03	Unknown	Kemp 18/96	0.0958467	64.82	380	3																																			
3295	B03	Unknown	Kemp 18/96	0.100458	94.82	380	4																																			
3295	B03	Unknown	Kemp 18/96	0.105028	124.82	380	5																																			
3295	B03	Unknown	Kemp 18/96	0.109684	154.82	380	6																																			
3295	B03	Unknown	Kemp 18/96	0.114258	184.82	380	7																																			
3295	B03	Unknown	Kemp 18/96	0.119021	214.82	380	8																																			
3295	B03	Unknown	Kemp 18/96	0.123811	244.82	380	9																																			
3295	B03	Unknown	Kemp 18/96	0.128669	274.82	380	10																																			
3295	B03	Unknown	Kemp 18/96	0.133534	304.82	380	11																																			
3295	B03	Unknown	Kemp 18/96	0.138418	334.82	380	12																																			
3295	B03	Unknown	Kemp 18/96	0.143467	364.82	380	13																																			
3295	B03	Unknown	Kemp 18/96	0.148385	394.82	380	14																																			
3295	B03	Unknown	Kemp 18/96	0.153416	424.82	380	15																																			
3295	B03	Unknown	Kemp 18/96	0.1585	454.82	380	16																																			
3295	B03	Unknown	Kemp 18/96	0.163635	484.82	380	17																																			
3295	B03	Unknown	Kemp 18/96	0.168656	514.82	380	18																																			
3295	B03	Unknown	Kemp 18/96	0.173729	544.82	380	19																																			
3295	B03	Unknown	Kemp 18/96	0.179013	574.82	380	20																																			
3295	B03	Unknown	Kemp 18/96	0.0867078	4.83	380	1																																			
3295	C03	Unknown	Kemp 19/96	0.0813238	5.98	380	1																																			
3295	C03	Unknown	Kemp 19/96	0.0837804	35.97	380	2																																			
3295	C03	Unknown	Kemp 19/96	0.0860383	65.97	380	3																																			
3295	C03	Unknown	Kemp 19/96	0.0885872	95.97	380	4																																			
3295	C03	Unknown	Kemp 19/96	0.0911081	125.97	380	5																																			
3295	C03	Unknown	Kemp 19/96	0.0937472	155.97	380	6																																			
3295	C03	Unknown	Kemp 19/96	0.0964803	185.97	380	7																																			
3295	C03	Unknown	Kemp 19/96	0.0990541	215.97	380	8																																			
3295	C03	Unknown	Kemp 19/96	0.101575	245.97	380	9																																			
3295	C03	Unknown	Kemp 19/96	0.104333	275.97	380	10																																			
3295	C03	Unknown	Kemp 19/96	0.107098	305.97	380	11																																			
3295	C03	Unknown	Kemp 19/96	0.10976	335.97	380	12																																			
3295	C03	Unknown	Kemp 19/96	0.112858	365.97	380	13																																			
3295	C03	Unknown	Kemp 19/96	0.115681	395.97	380	14																																			
3295	C03	Unknown	Kemp 19/96	0.118618	425.97	380	15																																			
3295	C03	Unknown	Kemp 19/96	0.121463	455.97	380	16																																			
3295	C03	Unknown	Kemp 19/96	0.12458	485.97	380	17																																			
3295	C03	Unknown	Kemp 19/96	0.127622	515.97	380	18																																			
