																																										
General Info																																										
																																										
Run information																																										
0032	D02	Unknown	NADPH 12/96	0.438498	55.15	340	3																																			
0032	D02	Unknown	NADPH 12/96	0.440274	77.43	340	4																																			
0032	D02	Unknown	NADPH 12/96	0.439115	99.72	340	5																																			
0032	D02	Unknown	NADPH 12/96	0.434371	122	340	6																																			
0032	D02	Unknown	NADPH 12/96	0.431586	144.29	340	7																																			
0032	D02	Unknown	NADPH 12/96	0.428315	166.57	340	8																																			
0032	D02	Unknown	NADPH 12/96	0.428434	188.86	340	9																																			
0032	D02	Unknown	NADPH 12/96	0.42771	211.14	340	10																																			
0032	D02	Unknown	NADPH 12/96	0.426785	233.43	340	11																																			
0032	D02	Unknown	NADPH 12/96	0.425653	255.71	340	12																																			
0032	D02	Unknown	NADPH 12/96	0.424212	278	340	13																																			
0032	D02	Unknown	NADPH 12/96	0.422812	300.28	340	14																																			
0032	D02	Unknown	NADPH 12/96	0.420533	322.57	340	15																																			
0032	D02	Unknown	NADPH 12/96	0.420075	344.85	340	16																																			
0032	D02	Unknown	NADPH 12/96	0.418569	367.14	340	17																																			
0032	D02	Unknown	NADPH 12/96	0.416698	389.42	340	18																																			
0032	D02	Unknown	NADPH 12/96	0.415827	411.71	340	19																																			
0032	D02	Unknown	NADPH 12/96	0.414536	433.99	340	20																																			
0032	E02	Unknown	NADPH 13/96	0.463063	11.27	340	1																																			
0032	E02	Unknown	NADPH 13/96	0.465532	33.55	340	2																																			
0032	E02	Unknown	NADPH 13/96	0.461414	55.84	340	3																																			
0032	E02	Unknown	NADPH 13/96	0.459767	78.12	340	4																																			
0032	E02	Unknown	NADPH 13/96	0.456875	100.41	340	5																																			
0032	E02	Unknown	NADPH 13/96	0.451567	122.69	340	6																																			
0032	E02	Unknown	NADPH 13/96	0.447455	144.98	340	7																																			
0032	E02	Unknown	NADPH 13/96	0.44338	167.26	340	8																																			
0032	E02	Unknown	NADPH 13/96	0.440095	189.55	340	9																																			
0032	E02	Unknown	NADPH 13/96	0.437385	211.83	340	10																																			
0032	E02	Unknown	NADPH 13/96	0.435283	234.12	340	11																																			
0032	E02	Unknown	NADPH 13/96	0.432176	256.4	340	12																																			
0032	E02	Unknown	NADPH 13/96	0.430813	278.69	340	13																																			
0032	E02	Unknown	NADPH 13/96	0.430455	300.97	340	14																																			
